"","package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
"86",NA,"comicbd.afm.gz","C:\Windows\Fonts\comicbd.ttf","Comic Sans MS Bold","Comic Sans MS","ComicSansMS-Bold",TRUE,FALSE,FALSE,NA
"87",NA,"comicz.afm.gz","C:\Windows\Fonts\comicz.ttf","Comic Sans MS Bold Italic","Comic Sans MS","ComicSansMS-BoldItalic",TRUE,TRUE,FALSE,NA
"88",NA,"comici.afm.gz","C:\Windows\Fonts\comici.ttf","Comic Sans MS Italic","Comic Sans MS","ComicSansMS-Italic",FALSE,TRUE,FALSE,NA
"89",NA,"consola.afm.gz","C:\Windows\Fonts\consola.ttf","Consolas","Consolas","Consolas",FALSE,FALSE,FALSE,NA
"90",NA,"consolab.afm.gz","C:\Windows\Fonts\consolab.ttf","Consolas Bold","Consolas","Consolas-Bold",TRUE,FALSE,FALSE,NA
"91",NA,"consolaz.afm.gz","C:\Windows\Fonts\consolaz.ttf","Consolas Bold Italic","Consolas","Consolas-BoldItalic",TRUE,TRUE,FALSE,NA
"92",NA,"consolai.afm.gz","C:\Windows\Fonts\consolai.ttf","Consolas Italic","Consolas","Consolas-Italic",FALSE,TRUE,FALSE,NA
"93",NA,"constan.afm.gz","C:\Windows\Fonts\constan.ttf","Constantia","Constantia","Constantia",FALSE,FALSE,FALSE,NA
"94",NA,"constanb.afm.gz","C:\Windows\Fonts\constanb.ttf","Constantia Bold","Constantia","Constantia-Bold",TRUE,FALSE,FALSE,NA
"95",NA,"constanz.afm.gz","C:\Windows\Fonts\constanz.ttf","Constantia Bold Italic","Constantia","Constantia-BoldItalic",TRUE,TRUE,FALSE,NA
"96",NA,"constani.afm.gz","C:\Windows\Fonts\constani.ttf","Constantia Italic","Constantia","Constantia-Italic",FALSE,TRUE,FALSE,NA
"97",NA,"COOPBL.afm.gz","C:\Windows\Fonts\COOPBL.TTF","Cooper Black","Cooper Black","CooperBlack",FALSE,FALSE,FALSE,NA
"98",NA,"COPRGTB.afm.gz","C:\Windows\Fonts\COPRGTB.TTF","Copperplate Gothic Bold","Copperplate Gothic Bold","CopperplateGothic-Bold",FALSE,FALSE,FALSE,NA
"99",NA,"COPRGTL.afm.gz","C:\Windows\Fonts\COPRGTL.TTF","Copperplate Gothic Light","Copperplate Gothic Light","CopperplateGothic-Light",FALSE,FALSE,FALSE,NA
"100",NA,"corbel.afm.gz","C:\Windows\Fonts\corbel.ttf","Corbel","Corbel","Corbel",FALSE,FALSE,FALSE,NA
"101",NA,"corbelb.afm.gz","C:\Windows\Fonts\corbelb.ttf","Corbel Bold","Corbel","Corbel-Bold",TRUE,FALSE,FALSE,NA
"102",NA,"corbelz.afm.gz","C:\Windows\Fonts\corbelz.ttf","Corbel Bold Italic","Corbel","Corbel-BoldItalic",TRUE,TRUE,FALSE,NA
"103",NA,"corbeli.afm.gz","C:\Windows\Fonts\corbeli.ttf","Corbel Italic","Corbel","Corbel-Italic",FALSE,TRUE,FALSE,NA
"104",NA,"corbell.afm.gz","C:\Windows\Fonts\corbell.ttf","Corbel Light","Corbel Light","CorbelLight",FALSE,FALSE,FALSE,NA
"105",NA,"corbelli.afm.gz","C:\Windows\Fonts\corbelli.ttf","Corbel Light Italic","Corbel Light","CorbelLight-Italic",FALSE,TRUE,FALSE,NA
"106",NA,"courbi.afm.gz","C:\Windows\Fonts\courbi.ttf","Courier New Bold Italic","Courier New","CourierNewPS-BoldItalicMT",TRUE,TRUE,FALSE,NA
"107",NA,"courbd.afm.gz","C:\Windows\Fonts\courbd.ttf","Courier New Bold","Courier New","CourierNewPS-BoldMT",TRUE,FALSE,FALSE,NA
"108",NA,"couri.afm.gz","C:\Windows\Fonts\couri.ttf","Courier New Italic","Courier New","CourierNewPS-ItalicMT",FALSE,TRUE,FALSE,NA
"109",NA,"cour.afm.gz","C:\Windows\Fonts\cour.ttf","Courier New","Courier New","CourierNewPSMT",FALSE,FALSE,FALSE,NA
"110",NA,"CURLZ___.afm.gz","C:\Windows\Fonts\CURLZ___.TTF","Curlz MT","Curlz MT","CurlzMT",FALSE,FALSE,FALSE,NA
"111",NA,"ebrima.afm.gz","C:\Windows\Fonts\ebrima.ttf","Ebrima","Ebrima","Ebrima",FALSE,FALSE,FALSE,NA
"112",NA,"ebrimabd.afm.gz","C:\Windows\Fonts\ebrimabd.ttf","Ebrima Bold","Ebrima","Ebrima-Bold",TRUE,FALSE,FALSE,NA
"113",NA,"ITCEDSCR.afm.gz","C:\Windows\Fonts\ITCEDSCR.TTF","Edwardian Script ITC","Edwardian Script ITC","EdwardianScriptITC",FALSE,FALSE,FALSE,NA
"114",NA,"ELEPHNTI.afm.gz","C:\Windows\Fonts\ELEPHNTI.TTF","Elephant Italic","Elephant","Elephant-Italic",FALSE,TRUE,FALSE,NA
"115",NA,"ELEPHNT.afm.gz","C:\Windows\Fonts\ELEPHNT.TTF","Elephant","Elephant","Elephant-Regular",FALSE,FALSE,FALSE,NA
"116",NA,"ENGR.afm.gz","C:\Windows\Fonts\ENGR.TTF","Engravers MT","Engravers MT","EngraversMT",FALSE,FALSE,FALSE,NA
"117",NA,"ERASBD.afm.gz","C:\Windows\Fonts\ERASBD.TTF","Eras Bold ITC","Eras Bold ITC","ErasITC-Bold",FALSE,FALSE,FALSE,NA
"118",NA,"ERASDEMI.afm.gz","C:\Windows\Fonts\ERASDEMI.TTF","Eras Demi ITC","Eras Demi ITC","ErasITC-Demi",FALSE,FALSE,FALSE,NA
"119",NA,"ERASLGHT.afm.gz","C:\Windows\Fonts\ERASLGHT.TTF","Eras Light ITC","Eras Light ITC","ErasITC-Light",FALSE,FALSE,FALSE,NA
"120",NA,"ERASMD.afm.gz","C:\Windows\Fonts\ERASMD.TTF","Eras Medium ITC","Eras Medium ITC","ErasITC-Medium",FALSE,FALSE,FALSE,NA
"121",NA,"FELIXTI.afm.gz","C:\Windows\Fonts\FELIXTI.TTF","Felix Titling","Felix Titling","FelixTitlingMT",FALSE,FALSE,FALSE,NA
"122",NA,"FTLTLT.afm.gz","C:\Windows\Fonts\FTLTLT.TTF","Footlight MT Light","Footlight MT Light","FootlightMTLight",FALSE,FALSE,FALSE,NA
"123",NA,"FORTE.afm.gz","C:\Windows\Fonts\FORTE.TTF","Forte","Forte","ForteMT",FALSE,FALSE,FALSE,NA
"124",NA,"FRABK.afm.gz","C:\Windows\Fonts\FRABK.TTF","Franklin Gothic Book","Franklin Gothic Book","FranklinGothic-Book",FALSE,FALSE,FALSE,NA
"125",NA,"FRABKIT.afm.gz","C:\Windows\Fonts\FRABKIT.TTF","Franklin Gothic Book Italic","Franklin Gothic Book","FranklinGothic-BookItalic",FALSE,TRUE,FALSE,NA
"126",NA,"FRADM.afm.gz","C:\Windows\Fonts\FRADM.TTF","Franklin Gothic Demi","Franklin Gothic Demi","FranklinGothic-Demi",FALSE,FALSE,FALSE,NA
"127",NA,"FRADMCN.afm.gz","C:\Windows\Fonts\FRADMCN.TTF","Franklin Gothic Demi Cond","Franklin Gothic Demi Cond","FranklinGothic-DemiCond",FALSE,FALSE,FALSE,NA
"128",NA,"FRADMIT.afm.gz","C:\Windows\Fonts\FRADMIT.TTF","Franklin Gothic Demi Italic","Franklin Gothic Demi","FranklinGothic-DemiItalic",FALSE,TRUE,FALSE,NA
"129",NA,"FRAHV.afm.gz","C:\Windows\Fonts\FRAHV.TTF","Franklin Gothic Heavy","Franklin Gothic Heavy","FranklinGothic-Heavy",FALSE,FALSE,FALSE,NA
"130",NA,"FRAHVIT.afm.gz","C:\Windows\Fonts\FRAHVIT.TTF","Franklin Gothic Heavy Italic","Franklin Gothic Heavy","FranklinGothic-HeavyItalic",FALSE,TRUE,FALSE,NA
"131",NA,"framd.afm.gz","C:\Windows\Fonts\framd.ttf","Franklin Gothic Medium","Franklin Gothic Medium","FranklinGothic-Medium",FALSE,FALSE,FALSE,NA
"132",NA,"FRAMDCN.afm.gz","C:\Windows\Fonts\FRAMDCN.TTF","Franklin Gothic Medium Cond","Franklin Gothic Medium Cond","FranklinGothic-MediumCond",FALSE,FALSE,FALSE,NA
"133",NA,"framdit.afm.gz","C:\Windows\Fonts\framdit.ttf","Franklin Gothic Medium Italic","Franklin Gothic Medium","FranklinGothic-MediumItalic",FALSE,TRUE,FALSE,NA
"134",NA,"FREESCPT.afm.gz","C:\Windows\Fonts\FREESCPT.TTF","Freestyle Script","Freestyle Script","FreestyleScript-Regular",FALSE,FALSE,FALSE,NA
"135",NA,"FRSCRIPT.afm.gz","C:\Windows\Fonts\FRSCRIPT.TTF","French Script MT","French Script MT","FrenchScriptMT",FALSE,FALSE,FALSE,NA
"136",NA,"Gabriola.afm.gz","C:\Windows\Fonts\Gabriola.ttf","Gabriola","Gabriola","Gabriola",FALSE,FALSE,FALSE,NA
"137",NA,"gadugi.afm.gz","C:\Windows\Fonts\gadugi.ttf","Gadugi","Gadugi","Gadugi",FALSE,FALSE,FALSE,NA
"138",NA,"gadugib.afm.gz","C:\Windows\Fonts\gadugib.ttf","Gadugi Bold","Gadugi","Gadugi-Bold",TRUE,FALSE,FALSE,NA
"139",NA,"GARA.afm.gz","C:\Windows\Fonts\GARA.TTF","Garamond","Garamond","Garamond",FALSE,FALSE,FALSE,NA
"140",NA,"GARABD.afm.gz","C:\Windows\Fonts\GARABD.TTF","Garamond Bold","Garamond","Garamond-Bold",TRUE,FALSE,FALSE,NA
"141",NA,"GARAIT.afm.gz","C:\Windows\Fonts\GARAIT.TTF","Garamond Italic","Garamond","Garamond-Italic",FALSE,TRUE,FALSE,NA
"142",NA,"georgia.afm.gz","C:\Windows\Fonts\georgia.ttf","Georgia","Georgia","Georgia",FALSE,FALSE,FALSE,NA
"143",NA,"georgiab.afm.gz","C:\Windows\Fonts\georgiab.ttf","Georgia Bold","Georgia","Georgia-Bold",TRUE,FALSE,FALSE,NA
"144",NA,"georgiaz.afm.gz","C:\Windows\Fonts\georgiaz.ttf","Georgia Bold Italic","Georgia","Georgia-BoldItalic",TRUE,TRUE,FALSE,NA
"145",NA,"georgiai.afm.gz","C:\Windows\Fonts\georgiai.ttf","Georgia Italic","Georgia","Georgia-Italic",FALSE,TRUE,FALSE,NA
"146",NA,"GIGI.afm.gz","C:\Windows\Fonts\GIGI.TTF","Gigi","Gigi","Gigi-Regular",FALSE,FALSE,FALSE,NA
"147",NA,"GILSANUB.afm.gz","C:\Windows\Fonts\GILSANUB.TTF","Gill Sans Ultra Bold","Gill Sans Ultra Bold","GillSans-UltraBold",FALSE,FALSE,FALSE,NA
"148",NA,"GILLUBCD.afm.gz","C:\Windows\Fonts\GILLUBCD.TTF","Gill Sans Ultra Bold Condensed","Gill Sans Ultra Bold Condensed","GillSans-UltraBoldCondensed",FALSE,FALSE,FALSE,NA
"149",NA,"GIL_____.afm.gz","C:\Windows\Fonts\GIL_____.TTF","Gill Sans MT","Gill Sans MT","GillSansMT",FALSE,FALSE,FALSE,NA
"150",NA,"GILB____.afm.gz","C:\Windows\Fonts\GILB____.TTF","Gill Sans MT Bold","Gill Sans MT","GillSansMT-Bold",TRUE,FALSE,FALSE,NA
"151",NA,"GILBI___.afm.gz","C:\Windows\Fonts\GILBI___.TTF","Gill Sans MT Bold Italic","Gill Sans MT","GillSansMT-BoldItalic",TRUE,TRUE,FALSE,NA
"152",NA,"GILC____.afm.gz","C:\Windows\Fonts\GILC____.TTF","Gill Sans MT Condensed","Gill Sans MT Condensed","GillSansMT-Condensed",FALSE,FALSE,FALSE,NA
"153",NA,"GLSNECB.afm.gz","C:\Windows\Fonts\GLSNECB.TTF","Gill Sans MT Ext Condensed Bold","Gill Sans MT Ext Condensed Bold","GillSansMT-ExtraCondensedBold",FALSE,FALSE,FALSE,NA
"154",NA,"GILI____.afm.gz","C:\Windows\Fonts\GILI____.TTF","Gill Sans MT Italic","Gill Sans MT","GillSansMT-Italic",FALSE,TRUE,FALSE,NA
"155",NA,"GLECB.afm.gz","C:\Windows\Fonts\GLECB.TTF","Gloucester MT Extra Condensed","Gloucester MT Extra Condensed","GloucesterMT-ExtraCondensed",FALSE,FALSE,FALSE,NA
"156",NA,"GOUDOSB.afm.gz","C:\Windows\Fonts\GOUDOSB.TTF","Goudy Old Style Bold","Goudy Old Style","GoudyOldStyleT-Bold",TRUE,FALSE,FALSE,NA
"157",NA,"GOUDOSI.afm.gz","C:\Windows\Fonts\GOUDOSI.TTF","Goudy Old Style Italic","Goudy Old Style","GoudyOldStyleT-Italic",FALSE,TRUE,FALSE,NA
"158",NA,"GOUDOS.afm.gz","C:\Windows\Fonts\GOUDOS.TTF","Goudy Old Style","Goudy Old Style","GoudyOldStyleT-Regular",FALSE,FALSE,FALSE,NA
"159",NA,"GOUDYSTO.afm.gz","C:\Windows\Fonts\GOUDYSTO.TTF","Goudy Stout","Goudy Stout","GoudyStout",FALSE,FALSE,FALSE,NA
"160",NA,"HATTEN.afm.gz","C:\Windows\Fonts\HATTEN.TTF","Haettenschweiler","Haettenschweiler","Haettenschweiler",FALSE,FALSE,FALSE,NA
"161",NA,"HARLOWSI.afm.gz","C:\Windows\Fonts\HARLOWSI.TTF","Harlow Solid Italic","Harlow Solid Italic","HarlowSolid",FALSE,TRUE,FALSE,NA
"162",NA,"HARNGTON.afm.gz","C:\Windows\Fonts\HARNGTON.TTF","Harrington","Harrington","Harrington",FALSE,FALSE,FALSE,NA
"163",NA,"HTOWERTI.afm.gz","C:\Windows\Fonts\HTOWERTI.TTF","High Tower Text Italic","High Tower Text","HighTowerText-Italic",FALSE,TRUE,FALSE,NA
"164",NA,"HTOWERT.afm.gz","C:\Windows\Fonts\HTOWERT.TTF","High Tower Text","High Tower Text","HighTowerText-Reg",FALSE,FALSE,FALSE,NA
"165",NA,"holomdl2.afm.gz","C:\Windows\Fonts\holomdl2.ttf","HoloLens MDL2 Assets","HoloLens MDL2 Assets","HoloLensMDL2Assets",FALSE,FALSE,FALSE,NA
"166",NA,"HPSimplified.afm.gz","C:\Windows\Fonts\HPSimplified.ttf","HP Simplified Bold","HP Simplified","HPSimplified-Bold",TRUE,FALSE,FALSE,NA
"167",NA,"HPSimplified_BdIt.afm.gz","C:\Windows\Fonts\HPSimplified_BdIt.ttf","HP Simplified Bold Italic","HP Simplified","HPSimplified-BoldItalic",TRUE,TRUE,FALSE,NA
"168",NA,"HPSimplified_It.afm.gz","C:\Windows\Fonts\HPSimplified_It.ttf","HP Simplified Italic","HP Simplified","HPSimplified-Italic",FALSE,TRUE,FALSE,NA
"169",NA,"HPSimplified_Lt.afm.gz","C:\Windows\Fonts\HPSimplified_Lt.ttf","HP Simplified Light","HP Simplified Light","HPSimplified-Light",FALSE,FALSE,FALSE,NA
"170",NA,"HPSimplified_LtIt.afm.gz","C:\Windows\Fonts\HPSimplified_LtIt.ttf","HP Simplified Light Italic","HP Simplified Light","HPSimplified-LightItalic",FALSE,TRUE,FALSE,NA
"171",NA,"HPSimplified_Rg.afm.gz","C:\Windows\Fonts\HPSimplified_Rg.ttf","HP Simplified","HP Simplified","HPSimplified-Regular",FALSE,FALSE,FALSE,NA
"172",NA,"impact.afm.gz","C:\Windows\Fonts\impact.ttf","Impact","Impact","Impact",FALSE,FALSE,FALSE,NA
"173",NA,"IMPRISHA.afm.gz","C:\Windows\Fonts\IMPRISHA.TTF","Imprint MT Shadow","Imprint MT Shadow","ImprintMT-Shadow",FALSE,FALSE,FALSE,NA
"174",NA,"INFROMAN.afm.gz","C:\Windows\Fonts\INFROMAN.TTF","Informal Roman","Informal Roman","InformalRoman-Regular",FALSE,FALSE,FALSE,NA
"175",NA,"Inkfree.afm.gz","C:\Windows\Fonts\Inkfree.ttf","Ink Free","Ink Free","InkFree",FALSE,FALSE,FALSE,NA
"176",NA,"javatext.afm.gz","C:\Windows\Fonts\javatext.ttf","Javanese Text","Javanese Text","JavaneseText",FALSE,FALSE,FALSE,NA
"177",NA,"JOKERMAN.afm.gz","C:\Windows\Fonts\JOKERMAN.TTF","Jokerman","Jokerman","Jokerman-Regular",FALSE,FALSE,FALSE,NA
"178",NA,"JUICE___.afm.gz","C:\Windows\Fonts\JUICE___.TTF","Juice ITC","Juice ITC","JuiceITC-Regular",FALSE,FALSE,FALSE,NA
"179",NA,"kalpurush.afm.gz","C:\Windows\Fonts\kalpurush.ttf","Kalpurush","Kalpurush","Kalpurush",FALSE,FALSE,FALSE,NA
"180",NA,"kalpurush ANSI.afm.gz","C:\Windows\Fonts\kalpurush ANSI.ttf","Kalpurush ANSI","Kalpurush ANSI","KalpurushANSI",FALSE,FALSE,FALSE,NA
"181",NA,"ITCKRIST.afm.gz","C:\Windows\Fonts\ITCKRIST.TTF","Kristen ITC","Kristen ITC","KristenITC-Regular",FALSE,FALSE,FALSE,NA
"182",NA,"KUNSTLER.afm.gz","C:\Windows\Fonts\KUNSTLER.TTF","Kunstler Script","Kunstler Script","KunstlerScript",FALSE,FALSE,FALSE,NA
"183",NA,"LATINWD.afm.gz","C:\Windows\Fonts\LATINWD.TTF","Wide Latin","Wide Latin","LatinWide",FALSE,FALSE,FALSE,NA
"184",NA,"LeelawUI.afm.gz","C:\Windows\Fonts\LeelawUI.ttf","Leelawadee UI","Leelawadee UI","LeelawadeeUI",FALSE,FALSE,FALSE,NA
"185",NA,"LeelaUIb.afm.gz","C:\Windows\Fonts\LeelaUIb.ttf","Leelawadee UI Bold","Leelawadee UI","LeelawadeeUI-Bold",TRUE,FALSE,FALSE,NA
"186",NA,"LeelUIsl.afm.gz","C:\Windows\Fonts\LeelUIsl.ttf","Leelawadee UI Semilight","Leelawadee UI Semilight","LeelawadeeUI-Semilight",FALSE,FALSE,FALSE,NA
"187",NA,"LBRITE.afm.gz","C:\Windows\Fonts\LBRITE.TTF","Lucida Bright","Lucida Bright","LucidaBright",FALSE,FALSE,FALSE,NA
"188",NA,"LBRITED.afm.gz","C:\Windows\Fonts\LBRITED.TTF","Lucida Bright Demibold","Lucida Bright","LucidaBright-Demi",FALSE,FALSE,FALSE,NA
"189",NA,"LBRITEDI.afm.gz","C:\Windows\Fonts\LBRITEDI.TTF","Lucida Bright Demibold Italic","Lucida Bright","LucidaBright-DemiItalic",FALSE,TRUE,FALSE,NA
"190",NA,"LBRITEI.afm.gz","C:\Windows\Fonts\LBRITEI.TTF","Lucida Bright Italic","Lucida Bright","LucidaBright-Italic",FALSE,TRUE,FALSE,NA
"191",NA,"LCALLIG.afm.gz","C:\Windows\Fonts\LCALLIG.TTF","Lucida Calligraphy Italic","Lucida Calligraphy","LucidaCalligraphy-Italic",FALSE,TRUE,FALSE,NA
"192",NA,"lucon.afm.gz","C:\Windows\Fonts\lucon.ttf","Lucida Console","Lucida Console","LucidaConsole",FALSE,FALSE,FALSE,NA
"193",NA,"LFAX.afm.gz","C:\Windows\Fonts\LFAX.TTF","Lucida Fax Regular","Lucida Fax","LucidaFax",FALSE,FALSE,FALSE,NA
"194",NA,"LFAXD.afm.gz","C:\Windows\Fonts\LFAXD.TTF","Lucida Fax Demibold","Lucida Fax","LucidaFax-Demi",FALSE,FALSE,FALSE,NA
"195",NA,"LFAXDI.afm.gz","C:\Windows\Fonts\LFAXDI.TTF","Lucida Fax Demibold Italic","Lucida Fax","LucidaFax-DemiItalic",FALSE,TRUE,FALSE,NA
"196",NA,"LFAXI.afm.gz","C:\Windows\Fonts\LFAXI.TTF","Lucida Fax Italic","Lucida Fax","LucidaFax-Italic",FALSE,TRUE,FALSE,NA
"197",NA,"LHANDW.afm.gz","C:\Windows\Fonts\LHANDW.TTF","Lucida Handwriting Italic","Lucida Handwriting","LucidaHandwriting-Italic",FALSE,TRUE,FALSE,NA
"198",NA,"LSANS.afm.gz","C:\Windows\Fonts\LSANS.TTF","Lucida Sans Regular","Lucida Sans","LucidaSans",FALSE,FALSE,FALSE,NA
"199",NA,"LSANSD.afm.gz","C:\Windows\Fonts\LSANSD.TTF","Lucida Sans Demibold Roman","Lucida Sans","LucidaSans-Demi",FALSE,FALSE,FALSE,NA
"200",NA,"LSANSDI.afm.gz","C:\Windows\Fonts\LSANSDI.TTF","Lucida Sans Demibold Italic","Lucida Sans","LucidaSans-DemiItalic",FALSE,TRUE,FALSE,NA
"201",NA,"LSANSI.afm.gz","C:\Windows\Fonts\LSANSI.TTF","Lucida Sans Italic","Lucida Sans","LucidaSans-Italic",FALSE,TRUE,FALSE,NA
"202",NA,"LTYPE.afm.gz","C:\Windows\Fonts\LTYPE.TTF","Lucida Sans Typewriter Regular","Lucida Sans Typewriter","LucidaSans-Typewriter",FALSE,FALSE,FALSE,NA
"203",NA,"LTYPEB.afm.gz","C:\Windows\Fonts\LTYPEB.TTF","Lucida Sans Typewriter Bold","Lucida Sans Typewriter","LucidaSans-TypewriterBold",TRUE,FALSE,FALSE,NA
"204",NA,"LTYPEBO.afm.gz","C:\Windows\Fonts\LTYPEBO.TTF","Lucida Sans Typewriter Bold Oblique","Lucida Sans Typewriter","LucidaSans-TypewriterBoldOblique",TRUE,TRUE,FALSE,NA
"205",NA,"LTYPEO.afm.gz","C:\Windows\Fonts\LTYPEO.TTF","Lucida Sans Typewriter Oblique","Lucida Sans Typewriter","LucidaSans-TypewriterOblique",FALSE,TRUE,FALSE,NA
"206",NA,"l_10646.afm.gz","C:\Windows\Fonts\l_10646.ttf","Lucida Sans Unicode","Lucida Sans Unicode","LucidaSansUnicode",FALSE,FALSE,FALSE,NA
"207",NA,"MAGNETOB.afm.gz","C:\Windows\Fonts\MAGNETOB.TTF","Magneto Bold","Magneto","Magneto-Bold",TRUE,FALSE,FALSE,NA
"208",NA,"MAIAN.afm.gz","C:\Windows\Fonts\MAIAN.TTF","Maiandra GD","Maiandra GD","MaiandraGD-Regular",FALSE,FALSE,FALSE,NA
"209",NA,"malgun.afm.gz","C:\Windows\Fonts\malgun.ttf","Malgun Gothic","Malgun Gothic","MalgunGothic",FALSE,FALSE,FALSE,NA
"210",NA,"malgunsl.afm.gz","C:\Windows\Fonts\malgunsl.ttf","Malgun Gothic Semilight","Malgun Gothic Semilight","MalgunGothic-Semilight",FALSE,FALSE,FALSE,NA
"211",NA,"malgunbd.afm.gz","C:\Windows\Fonts\malgunbd.ttf","Malgun Gothic Bold","Malgun Gothic","MalgunGothicBold",TRUE,FALSE,FALSE,NA
"212",NA,"marlett.afm.gz","C:\Windows\Fonts\marlett.ttf","Marlett","Marlett","Marlett",FALSE,FALSE,FALSE,NA
"213",NA,"MATURASC.afm.gz","C:\Windows\Fonts\MATURASC.TTF","Matura MT Script Capitals","Matura MT Script Capitals","MaturaMTScriptCapitals",FALSE,FALSE,FALSE,NA
"214",NA,"himalaya.afm.gz","C:\Windows\Fonts\himalaya.ttf","Microsoft Himalaya","Microsoft Himalaya","Microsoft-Himalaya",FALSE,FALSE,FALSE,NA
"215",NA,"msyi.afm.gz","C:\Windows\Fonts\msyi.ttf","Microsoft Yi Baiti","Microsoft Yi Baiti","Microsoft-Yi-Baiti",FALSE,FALSE,FALSE,NA
"216",NA,"ntailu.afm.gz","C:\Windows\Fonts\ntailu.ttf","Microsoft New Tai Lue","Microsoft New Tai Lue","MicrosoftNewTaiLue",FALSE,FALSE,FALSE,NA
"217",NA,"ntailub.afm.gz","C:\Windows\Fonts\ntailub.ttf","Microsoft New Tai Lue Bold","Microsoft New Tai Lue","MicrosoftNewTaiLue-Bold",TRUE,FALSE,FALSE,NA
"218",NA,"phagspa.afm.gz","C:\Windows\Fonts\phagspa.ttf","Microsoft PhagsPa","Microsoft PhagsPa","MicrosoftPhagsPa",FALSE,FALSE,FALSE,NA
"219",NA,"phagspab.afm.gz","C:\Windows\Fonts\phagspab.ttf","Microsoft PhagsPa Bold","Microsoft PhagsPa","MicrosoftPhagsPa-Bold",TRUE,FALSE,FALSE,NA
"220",NA,"micross.afm.gz","C:\Windows\Fonts\micross.ttf","Microsoft Sans Serif","Microsoft Sans Serif","MicrosoftSansSerif",FALSE,FALSE,FALSE,NA
"221",NA,"taile.afm.gz","C:\Windows\Fonts\taile.ttf","Microsoft Tai Le","Microsoft Tai Le","MicrosoftTaiLe",FALSE,FALSE,FALSE,NA
"222",NA,"taileb.afm.gz","C:\Windows\Fonts\taileb.ttf","Microsoft Tai Le Bold","Microsoft Tai Le","MicrosoftTaiLe-Bold",TRUE,FALSE,FALSE,NA
"223",NA,"MISTRAL.afm.gz","C:\Windows\Fonts\MISTRAL.TTF","Mistral","Mistral","Mistral",FALSE,FALSE,FALSE,NA
"224",NA,"MOD20.afm.gz","C:\Windows\Fonts\MOD20.TTF","Modern No. 20","Modern No. 20","Modern-Regular",FALSE,FALSE,FALSE,NA
"225",NA,"monbaiti.afm.gz","C:\Windows\Fonts\monbaiti.ttf","Mongolian Baiti","Mongolian Baiti","MongolianBaiti",FALSE,FALSE,FALSE,NA
"226",NA,"MTCORSVA.afm.gz","C:\Windows\Fonts\MTCORSVA.TTF","Monotype Corsiva","Monotype Corsiva","MonotypeCorsiva",FALSE,FALSE,FALSE,NA
"227",NA,"OUTLOOK.afm.gz","C:\Windows\Fonts\OUTLOOK.TTF","MS Outlook","MS Outlook","MSOutlook",FALSE,FALSE,FALSE,NA
"228",NA,"REFSAN.afm.gz","C:\Windows\Fonts\REFSAN.TTF","MS Reference Sans Serif","MS Reference Sans Serif","MSReferenceSansSerif",FALSE,FALSE,FALSE,NA
"229",NA,"REFSPCL.afm.gz","C:\Windows\Fonts\REFSPCL.TTF","MS Reference Specialty","MS Reference Specialty","MSReferenceSpecialty",FALSE,FALSE,FALSE,NA
"230",NA,"mvboli.afm.gz","C:\Windows\Fonts\mvboli.ttf","MV Boli","MV Boli","MVBoli",FALSE,FALSE,FALSE,NA
"231",NA,"mmrtext.afm.gz","C:\Windows\Fonts\mmrtext.ttf","Myanmar Text","Myanmar Text","MyanmarText",FALSE,FALSE,FALSE,NA
"232",NA,"mmrtextb.afm.gz","C:\Windows\Fonts\mmrtextb.ttf","Myanmar Text Bold","Myanmar Text","MyanmarText-Bold",TRUE,FALSE,FALSE,NA
"233",NA,"NIAGENG.afm.gz","C:\Windows\Fonts\NIAGENG.TTF","Niagara Engraved","Niagara Engraved","NiagaraEngraved-Reg",FALSE,FALSE,FALSE,NA
"234",NA,"NIAGSOL.afm.gz","C:\Windows\Fonts\NIAGSOL.TTF","Niagara Solid","Niagara Solid","NiagaraSolid-Reg",FALSE,FALSE,FALSE,NA
"235",NA,"Nirmala.afm.gz","C:\Windows\Fonts\Nirmala.ttf","Nirmala UI","Nirmala UI","NirmalaUI",FALSE,FALSE,FALSE,NA
"236",NA,"NirmalaB.afm.gz","C:\Windows\Fonts\NirmalaB.ttf","Nirmala UI Bold","Nirmala UI","NirmalaUI-Bold",TRUE,FALSE,FALSE,NA
"237",NA,"NirmalaS.afm.gz","C:\Windows\Fonts\NirmalaS.ttf","Nirmala UI Semilight","Nirmala UI Semilight","NirmalaUI-Semilight",FALSE,FALSE,FALSE,NA
"238",NA,"OCRAEXT.afm.gz","C:\Windows\Fonts\OCRAEXT.TTF","OCR A Extended","OCR A Extended","OCRAExtended",FALSE,FALSE,FALSE,NA
"239",NA,"OLDENGL.afm.gz","C:\Windows\Fonts\OLDENGL.TTF","Old English Text MT","Old English Text MT","OldEnglishTextMT",FALSE,FALSE,FALSE,NA
"240",NA,"ONYX.afm.gz","C:\Windows\Fonts\ONYX.TTF","Onyx","Onyx","Onyx",FALSE,FALSE,FALSE,NA
"241",NA,"PALSCRI.afm.gz","C:\Windows\Fonts\PALSCRI.TTF","Palace Script MT","Palace Script MT","PalaceScriptMT",FALSE,FALSE,FALSE,NA
"242",NA,"palab.afm.gz","C:\Windows\Fonts\palab.ttf","Palatino Linotype Bold","Palatino Linotype","PalatinoLinotype-Bold",TRUE,FALSE,FALSE,NA
