"","package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
"339",NA,"PublicSans-Regular.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\public-sans\PublicSans-Regular.ttf","Public Sans Regular","Public Sans","PublicSans-Regular",FALSE,FALSE,FALSE,NA
"340",NA,"PublicSans-SemiBold.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\public-sans\PublicSans-SemiBold.ttf","Public Sans SemiBold","Public Sans SemiBold","PublicSans-SemiBold",FALSE,FALSE,FALSE,NA
"341",NA,"PublicSans-Thin.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\public-sans\PublicSans-Thin.ttf","Public Sans Thin","Public Sans Thin","PublicSans-Thin",FALSE,FALSE,FALSE,NA
"342",NA,"TitilliumWeb-Bold.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\titillium-web\TitilliumWeb-Bold.ttf","Titillium Web Bold","Titillium Web","TitilliumWeb-Bold",TRUE,FALSE,FALSE,NA
"343",NA,"TitilliumWeb-Light.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\titillium-web\TitilliumWeb-Light.ttf","Titillium Web Light","Titillium Web Light","TitilliumWeb-Light",FALSE,FALSE,FALSE,NA
"344",NA,"TitilliumWeb-Regular.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\titillium-web\TitilliumWeb-Regular.ttf","Titillium Web Regular","Titillium Web","TitilliumWeb-Regular",FALSE,FALSE,FALSE,NA
"345",NA,"econsans-condensed-primary-subset-bd.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-bd.ttf","EconSansCndBol","EconSansCndBol","EconSansCndBol",TRUE,FALSE,FALSE,NA
"346",NA,"econsans-condensed-primary-subset-bd-it.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-bd-it.ttf","EconSansCndBolIta","EconSansCndBolIta","EconSansCndBolIta",TRUE,TRUE,FALSE,NA
"347",NA,"econsans-condensed-primary-subset-li.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-li.ttf","EconSansCndLig","EconSansCndLig","EconSansCndLig",FALSE,FALSE,FALSE,NA
"348",NA,"econsans-condensed-primary-subset-li-it.afm.gz","C:\Users\HP\Documents\R\win-library\4.0\hrbrthemes\fonts\econ-sans\econsans-condensed-primary-subset-li-it.ttf","EconSansCndLigIta","EconSansCndLigIta","EconSansCndLigIta",FALSE,TRUE,FALSE,NA
